MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.060526154,0.533333333,0.396039604,0.105263158,0.16,0.045454545,0.160533842,0.034090909,0.03239587,0.68,0.188264059,0.565949486,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.489795918,0.088098977,0,0,1,0,0,0,0,0,0,0,0.888888889,0.201,0.3776,0.6429,0.7705
0.083086754,0.23,0.554455446,0,0.04,0.045454545,0.049952336,0.079545455,0.089711641,0.34,0.250203749,0.453695042,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.030612245,0.030643123,0,0,0,0,0,0,0,1,0,0,1,0.3157,0.5097,0.6232,0.7285
0.136649381,0.546666667,0.475247525,0,0.2,0.136363636,0.123164919,0.125,0.150943396,0.46,0.256723716,0.098222638,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.489795918,0.022982342,0,0,0,0,0,0,0,0,1,0.5,0.888888889,0.3033,0.449,0.5797,0.7107
0.13953904,0.423333333,0.633663366,0.052631579,0.16,0.318181818,0.166062917,0.136363636,0.112139551,0.24,0.294213529,0.610851263,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.12244898,0.107250929,0,0,0,0,0,0,0,1,0,0,0.888888889,0.4042,0.388,0.3683,0.3562
0.19775268,0.45,0.485148515,0.105263158,0.32,0.227272727,0.208770257,0.181818182,0.213243147,0.28,0.25590872,0.858278765,0.01289462,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.489795918,0.183858735,0,1,0,0,0,0,0,1,0,0,0.888888889,0.2448,0.3943,0.5103,0.5335
1,0.446666667,0,1,1,0.590909091,1,1,1,0.46,0.126324368,0.43919551,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.183673469,0.949936799,1,0,0,0,1,0,0,0,0,0.5,0.888888889,0.0445,0.619,0.9623,1
0.049644659,0.283333333,0.475247525,0,0.08,0,0.070352717,0.056818182,0.104663581,0.5,0.265688672,0.070159027,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,1,0.183673469,0.375378251,0,0,0,0,0,1,0,0,0,0.25,0.222222222,0.041,0.0932,0.1548,0.2783
0.177419558,0.395,0.683168317,0.052631579,0.16,0.318181818,0.126406101,0.181818182,0.183339267,0.38,0.370823146,0.9303087,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,0.5,0.234693878,0.222162638,0,1,0,0,1,0,0,0,0,0,0.888888889,0.4753,0.938,0.975,0.988
0.279691444,0.626666667,0.673267327,0.105263158,0.4,0.272727273,0.130981888,0.272727273,0.234603062,0.34,0.234718826,0.75070159,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.183673469,0.231738614,0,1,0,0,0,1,0,0,0,0,0.388888889,0.052,0.5445,0.6774,0.6856
0.1442869,0.546666667,0.415841584,0.157894737,0.16,0.090909091,0.16835081,0.147727273,0.189747241,0.56,0.181744091,0.816183349,0.008892841,0.10987033,0,0,0.037037037,0.309782609,0,1,0.234693878,0.00383039,0,0,0,0,0,0,0,1,0,0.5,0.055555556,0.9746,0.9968,0.9958,1
0.09202895,0.76,0.693069307,0.105263158,0.08,0.181818182,0.081601525,0.068181818,0.054467782,0.26,0.441727791,0.486435921,0,1,0.666666667,0.875,1,0.83423913,0.692206942,0,0.285714286,0.030643123,0,0,0,0,0,0,0,1,0,0,0.444444444,0.3416,0.3583,0.375,0.3845
0.426544393,0.213333333,0.851485149,0.210526316,0.32,0.818181818,0.372735939,0.420454545,0.316482734,0.06,0.381418093,0.93919551,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.081632653,0.375378251,1,0,1,0,0,0,0,0,0,0,0.888888889,0.3733,0.9529,0.9835,1
0.193915024,0.576666667,0.396039604,0.052631579,0.2,0.227272727,0.187797903,0.193181818,0.200783197,0.3482,0.242868786,0.67909261,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.316326531,0.375378251,0,0,0,0,1,0,0,0,0,0,1,0.9258,0.9181,0.9137,0.891
