MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.040188308,0.323333333,0.584158416,0.052631579,0.08,0.136363636,0.076263108,0.045454545,0.044855821,0.388,0.30399348,0.495322732,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,1,0.387755102,0.375378251,0,0,1,0,0,0,0,0,0,0.5,0.222222222,0.1457,0.2572,0.4163,0.3447
0.140601994,0.316666667,0.683168317,0.052631579,0.12,0.181818182,0.118207817,0.136363636,0.126379494,0.18,0.382233089,0.476613658,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.316326531,0.205308921,0,0,1,0,0,0,0,0,0,0.5,0.444444444,0.4096,0.361,0.3546,0.3324
0.159170613,0.34,0.594059406,0.052631579,0.24,0.136363636,0.152335558,0.147727273,0.151655393,0.24,0.361043195,0.818521983,0.080591374,0.24651646,0.166666667,0.375,0.111111111,0.391304348,0.283562541,1,0.234693878,0.183858735,0,0,0,0,0,0,1,0,0,0.5,0.444444444,0.0903,0.253,0.3373,0.3915
0.048873033,0.58,0.762376238,0.105263158,0.08,0.136363636,0.081601525,0.056818182,0.050195799,0.464,0.409127954,0.481290926,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0,0.081632653,0.375378251,0,0,0,0,1,0,0,0,0,0,0.888888889,0.5041,0.6978,0.8204,0.8521
0.122972711,0.04,0.772277228,0.052631579,0.08,0.363636364,0.068446139,0.136363636,0.079743681,0.3482,0.329747351,0.467726848,0.001667408,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.132653061,0.375378251,0,0,0,0,0,0,0,0,0,0,0.888888889,0.1703,0.3479,0.3794,0.4248
1,0.446666667,0,1,1,0.590909091,1,1,1,0.46,0.126324368,0.43919551,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.183673469,0.949936799,1,0,0,0,1,0,0,0,0,0.5,0.888888889,0.0445,0.619,0.9623,1
0.188461678,0.266666667,0.722772277,0.052631579,0.16,0.318181818,0.126406101,0.193181818,0.19757921,0.32,0.403422983,0.996725912,0.057914629,0.10987033,0,0,0.037037037,0.309782609,0,1,0.183673469,0.068947026,1,1,0,0,0,0,0,1,0,0.5,0.888888889,0.5935,0.9798,0.9987,1
0.09202895,0.76,0.693069307,0.105263158,0.08,0.181818182,0.081601525,0.068181818,0.054467782,0.26,0.441727791,0.486435921,0,1,0.666666667,0.875,1,0.83423913,0.692206942,0,0.081632653,0.030643123,0,0,0,0,0,0,0,1,0,0,0.444444444,0.5277,0.5388,0.5396,0.5424
0.80581412,0.806666667,1,0.263157895,0.44,0.681818182,0.519542421,0.818181818,0.775720897,0.9,1,0.852666043,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.132653061,0.095759758,0,0,0,0,0,0,0,1,0,0,0.888888889,0.4195,0.6345,0.7066,0.7399
0.049644659,0.283333333,0.475247525,0,0.08,0,0.070352717,0.056818182,0.104663581,0.5,0.265688672,0.070159027,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,1,0.183673469,0.375378251,0,0,0,0,0,1,0,0,0,0.25,0.222222222,0.041,0.0932,0.1548,0.2783
0.279691444,0.626666667,0.673267327,0.105263158,0.4,0.272727273,0.130981888,0.272727273,0.234603062,0.34,0.234718826,0.75070159,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.183673469,0.231738614,0,1,0,0,0,1,0,0,0,0,0.388888889,0.052,0.5445,0.6774,0.6856
0.315957847,0.09,0.207920792,0.421052632,0.52,0.272727273,0.416587226,0.318181818,0.260946956,0.78,0,0.669317119,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.234693878,0.088098977,1,0,0,0,0,0,0,1,0,0,0.888888889,0.0171,0.0795,0.5931,0.8945
0.177419558,0.395,0.683168317,0.052631579,0.16,0.318181818,0.126406101,0.181818182,0.183339267,0.38,0.370823146,0.9303087,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,0.5,0.183673469,0.222162638,0,1,0,0,1,0,0,0,0,0,0.888888889,0.7738,0.9983,0.9913,0.988
