MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0,0.15,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.0749,0.4382,0.6554,0.6704
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.15,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.0652,0.4706,0.7313,0.7488
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0,0.040816327,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.1123,0.6142,0.7415,0.7827
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.040816327,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.1267,0.6353,0.8706,0.8895
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.071428571,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.1263,0.6843,0.8725,0.9129
0.142995608,0.081666667,0.772277228,0,0.12,0.318181818,0.087893232,0.136363636,0.109291563,0.08,0.43194784,0.070159027,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,1,0.183673469,0.049795074,0,0,0,0,1,0,0,0,0,0.5,0.555555556,0.0317,0.1044,0.1026,0.0983
0.142995608,0.081666667,0.772277228,0,0.12,0.318181818,0.087893232,0.136363636,0.109291563,0.08,0.43194784,0.070159027,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.183673469,0.049795074,0,0,0,0,1,0,0,0,0,0.5,0.555555556,0.0104,0.0955,0.1004,0.11
0.142995608,0.081666667,0.772277228,0,0.12,0.318181818,0.087893232,0.136363636,0.109291563,0.08,0.43194784,0.070159027,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0.5,0.183673469,0.049795074,0,0,0,0,1,0,0,0,0,0.5,0.555555556,0.0046,0.089,0.1254,0.1337
0.142995608,0.081666667,0.772277228,0,0.12,0.318181818,0.087893232,0.136363636,0.109291563,0.08,0.43194784,0.070159027,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.183673469,0.049795074,0,0,0,0,1,0,0,0,0,0.5,0.555555556,0.0348,0.1251,0.1426,0.1417
0.142995608,0.081666667,0.772277228,0,0.12,0.318181818,0.087893232,0.136363636,0.109291563,0.08,0.43194784,0.070159027,0.035682526,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.234693878,0.107250929,1,1,0,0,0,0,0,1,0,0.5,0.888888889,0.0823,0.5753,0.8589,0.9616
